Machine_ID,Temperature,Run_Time,Downtime_Flag
1,104.9,167.42,1
2,85.85,60.48,0
3,109.43,45.19,0
4,135.69,56.2,0
5,82.98,295.61,0
6,82.98,35.31,0
7,137.38,175.09,0
8,113.02,379.07,0
9,75.92,154.23,0
10,106.28,384.02,0
11,76.1,375.28,0
12,76.03,130.46,0
13,97.26,367.12,0
14,50.0,376.41,1
15,50.0,204.75,0
16,73.13,113.11,0
17,59.62,265.42,0
18,99.43,461.48,0
19,62.76,323.41,0
20,50.0,94.73,1
21,133.97,344.55,1
22,83.23,219.33,0
23,92.03,299.85,0
24,50.0,369.69,0
25,73.67,262.32,0
26,93.33,408.85,0
27,55.47,363.86,0
28,101.27,311.39,0
29,71.98,83.89,1
30,81.25,419.62,0
31,71.95,468.59,0
32,145.57,77.11,0
33,89.6,249.24,1
34,58.27,136.86,0
35,114.68,379.72,0
36,53.37,363.6,0
37,96.27,79.03,0
38,50.0,439.74,0
39,50.15,98.68,0
40,95.91,400.66,0
41,112.15,233.92,1
42,95.14,170.85,0
43,86.53,87.54,0
44,80.97,92.13,0
45,50.0,334.33,0
46,68.4,279.71,0
47,76.18,69.82,1
48,121.71,65.22,1
49,100.31,45.43,0
50,50.0,374.45,0
51,99.72,358.82,1
52,78.45,38.63,0
53,69.69,284.53,0
54,108.35,51.49,0
55,120.93,452.84,1
56,117.94,454.49,1
57,64.82,352.13,0
58,80.72,463.83,0
59,99.94,407.61,0
60,119.27,415.98,1
61,75.62,289.16,0
62,84.43,159.97,0
63,56.81,116.72,1
64,54.11,170.33,0
65,114.38,317.96,1
66,130.69,94.6,0
67,87.84,136.73,1
68,120.11,239.35,0
69,100.85,124.19,0
70,70.65,298.44,0
71,100.84,462.36,1
72,136.14,376.56,1
73,88.93,336.55,0
74,136.94,295.53,1
75,50.0,249.09,1
76,114.66,101.42,0
77,92.61,448.41,0
78,81.03,131.78,1
79,92.75,54.74,0
80,50.0,377.51,0
81,83.41,96.05,0
82,100.71,192.23,0
83,134.34,23.86,0
84,74.45,77.16,0
85,65.75,94.87,0
86,74.95,36.66,0
87,117.46,331.76,0
88,99.86,420.13,0
89,74.11,192.92,0
90,105.4,438.54,1
91,92.91,114.54,0
92,119.06,169.44,0
93,68.94,83.86,0
94,80.17,314.07,0
95,78.24,215.74,0
96,50.0,310.51,1
97,98.88,383.22,0
98,97.83,277.39,0
99,90.15,317.54,0
100,82.96,468.27,0
101,50.0,156.54,0
102,77.38,185.99,0
103,79.72,361.67,0
104,65.93,309.54,1
105,85.16,97.48,1
106,102.12,194.31,0
107,146.59,239.24,0
108,95.24,215.5,0
109,97.73,97.35,0
110,87.77,462.97,0
111,50.0,383.54,0
112,89.2,245.86,0
113,91.81,343.23,0
114,150.0,449.67,1
115,84.23,76.73,0
116,99.05,132.68,0
117,88.96,275.92,0
118,54.94,401.52,0
119,124.28,27.76,0
120,112.56,492.17,1
121,113.73,232.9,1
122,62.72,186.02,0
123,132.08,153.43,1
124,50.0,95.43,0
125,107.61,397.87,0
126,150.0,478.15,1
127,60.28,212.69,0
128,73.01,476.69,0
129,92.99,413.66,0
130,74.9,245.72,0
131,50.0,340.27,0
132,92.06,223.14,0
133,58.13,283.77,0
134,104.21,38.44,0
135,62.42,351.17,0
136,136.5,35.88,0
137,66.5,410.37,0
138,80.34,414.22,1
139,114.41,126.17,0
140,53.07,168.59,0
141,96.82,245.84,1
142,129.21,302.36,0
143,50.0,150.8,0
144,95.54,300.32,0
145,97.8,155.92,0
146,113.45,37.19,0
147,52.89,11.24,0
148,50.39,59.56,0
149,105.66,398.2,0
150,98.91,481.1,0
151,97.51,219.21,0
152,100.39,261.22,1
153,69.6,81.96,1
154,96.97,280.01,0
155,98.79,80.88,0
156,68.57,309.5,0
157,145.97,467.3,1
158,104.21,105.89,0
159,54.26,384.64,1
160,109.7,21.52,0
161,60.76,193.99,0
162,113.61,64.27,1
163,124.76,182.71,0
164,65.38,95.03,0
165,118.9,192.92,0
166,102.38,214.59,1
167,114.66,157.29,0
168,146.9,331.74,0
169,82.64,460.24,0
170,67.39,206.29,0
171,63.31,104.25,0
172,65.53,142.65,0
173,87.69,428.46,0
174,100.23,290.1,0
175,98.3,232.96,0
176,114.82,83.32,1
177,90.39,230.37,0
178,133.61,146.46,1
179,82.06,472.15,1
180,150.0,443.19,1
181,108.77,51.11,0
182,64.29,263.16,1
183,57.87,120.28,0
184,104.47,211.28,0
185,83.3,439.66,0
186,111.42,268.48,0
187,104.2,173.77,0
188,87.82,111.87,0
189,64.6,402.16,0
190,50.0,316.01,1
191,76.6,239.35,0
192,115.69,116.57,0
193,96.42,173.78,0
194,52.63,480.32,1
195,95.2,264.84,0
196,101.56,206.34,0
197,63.48,265.5,0
198,94.61,391.7,0
199,91.75,176.65,0
200,55.71,97.57,0
201,100.73,296.62,1
202,106.82,335.95,0
203,122.49,359.23,0
204,121.61,442.17,1
205,50.0,191.88,1
206,61.87,46.92,0
207,105.45,479.59,1
208,105.41,223.16,0
209,105.45,315.4,1
210,150.0,336.49,0
211,107.13,277.79,0
212,124.07,110.58,0
213,118.62,380.02,0
214,109.54,403.84,1
215,80.54,280.96,1
216,112.77,249.39,0
217,66.82,65.83,0
218,82.9,51.14,0
219,75.44,176.39,0
220,92.46,162.31,0
221,150.0,477.29,1
222,50.0,393.98,0
223,110.59,333.36,1
224,50.0,263.65,0
225,75.84,92.01,0
226,122.67,489.44,1
227,91.93,193.77,0
228,57.67,62.39,0
229,68.54,251.96,0
230,110.39,438.26,1
231,68.09,444.77,0
232,96.49,15.37,0
233,91.37,444.28,0
234,70.45,143.03,0
235,150.0,29.1,0
236,109.02,425.42,1
237,50.0,433.29,1
238,95.59,302.15,0
239,70.15,291.47,0
240,115.57,408.43,1
241,66.22,395.29,0
242,86.56,446.15,1
243,105.15,280.85,0
244,115.97,484.15,1
245,53.99,498.11,0
246,79.96,67.11,0
247,75.75,426.28,0
